StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q6,Q16,Q100,Q99,Q102,Q103,Q104,Q105,Q107,Q106,Q108,Q109,Q13,Q14,Q97_1,Q97_2,Q97_3,Q97_4,Q97_5,Q97_6,Q97_7,Q97_8,Q97_9,Q97_10,Q97_11,Q111,Q113,Q115,Q117,Q119,Q79,Q3,Q3_8_TEXT,Q6.8,Q6.8_3_TEXT,Q6.7,Q6.7_8_TEXT,personality_prov_1,personality_prov_2,personality_prov_3,personality_prov_4,personality_prov_5,personality_prov_6,personality_prov_7,personality_prov_8,personality_prov_9,personality_prov_10,Q95_1,Q95_2,Q95_3,SE-13_1,SE-13_2,SE-13_3,SE-13_4,SE-13_5,SE-13_6,SE-13_7,SE-13_8,SE-13_9,SE-13_10,SE-13_11,SE-13_12,SE-13_13,IUIPC_1,IUIPC_2,IUIPC_3,IUIPC_4,IUIPC_5,IUIPC_6,IUIPC_7,IUIPC_8,Q6.9,temp_technical,SC0,PROLIFIC_PID,SESSION_ID,STUDY_ID,Q_AmbiguousTextPresent,Q_AmbiguousTextQuestions,Q_StraightliningCount,Q_StraightliningPercentage,Q_StraightliningQuestions,Q_UnansweredPercentage,Q_UnansweredQuestions
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,phishing knowledge | theory,What are the risks of falling victim to a phishing attack?,What is a common type of content found in phishing emails?,"Suppose you have received a mail from paypal asking to reset your password, and the email sender address is one of the following. Which one of these mail addresses looks suspicious ?",Suppose now you have received a mail from Dropbox saying that a user has shared his dropbox with you. Which one of the following mail addresses looks suspicious ?,The following address is suspicious : googleaccountsupport@gsupport.com. Why ?,"Among the following sentences, which one would you be the most susceptible to find in a phishing mail ?",What about these?,What about these?,What about these?,Suppose you have received an email that can contain one of the following links. Which one looks legitimate?,Suppose attached to a mail you have one of the following files. Which one looks legitimate?,phishing knowledge | theory,What should you do as an employee if you suspect a phishing attack?,"Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - It's always safe to click on links in emails from people I know.","Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - Nothing bad can happen if I click on a link in an email from and unknown sender.","Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - It's risky to open an email attachment from an unknown sender.","Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - I don't always click on links in emails just because they come from someone I know.","Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - If an email from an unknown sender looks interesting, I click on a link within it.","Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - I don't open email attachments if the sender is unknown to me.","Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - It can be risky to download files on my work computer.","Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - Just because I can access a website at work, doesn't mean that it's safe.","Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - If it helps me to do my job, it doesn't matter what information I put on a website.","Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - I download any files onto my work computer that will help me get my job done.","Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - When accessing the Internet at work, I visit any website that I want to.",Would you classify this mail as phishing?,Would you classify it as phishing?,Would you classify it as phishing?,Would you classify it as phishing?,Would you classify this mail as phishing?,What age group do you belong to?,What is your highest level of education? - Selected Choice,What is your highest level of education? - Other: - Text,Do you have an IT security related background or is your occupation concerned with IT security? You can tick multiple answers if applicable. - Selected Choice,"Do you have an IT security related background or is your occupation concerned with IT security? You can tick multiple answers if applicable. - Yes, other IT security related education or occupation: - Text",What is your occupation? - Selected Choice,What is your occupation? - Other: - Text,How well do the following statements describe your personality? - I see myself as someone who is reserved.,How well do the following statements describe your personality? - I see myself as someone who is generally trusting.,How well do the following statements describe your personality? - I see myself as someone who tends to be lazy.,"How well do the following statements describe your personality? - I see myself as someone who is relaxed, handles stress well.",How well do the following statements describe your personality? - I see myself as someone who has few artistic interests.,"How well do the following statements describe your personality? - I see myself as someone who is outgoing, sociable.",How well do the following statements describe your personality? - I see myself as someone who tends to find fault with others.,How well do the following statements describe your personality? - I see myself as someone who does a thorough job.,How well do the following statements describe your personality? - I see myself as someone who gets nervous easily.,How well do the following statements describe your personality? - I see myself as someone who has an active imagination.,"After completing the training, how would you now rate the following aspects? - your knowledge on phishing","After completing the training, how would you now rate the following aspects? - your ability to detect phishing e-mails","After completing the training, how would you now rate the following aspects? - your level of alertness for phishing attacks","You're nearly done, just answer the following questionnaire and you will be good to go ! Each statement below describes how a person might feel about the use of security measures. Examples of security measures are laptop or tablet passwords, spam email reporting tools, software updates, secure web browsers, fingerprint ID, and anti-virus software.

Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - Generally, I diligently follow a routine about security practices.","You're nearly done, just answer the following questionnaire and you will be good to go ! Each statement below describes how a person might feel about the use of security measures. Examples of security measures are laptop or tablet passwords, spam email reporting tools, software updates, secure web browsers, fingerprint ID, and anti-virus software.

Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - I always pay attention to experts' advice about the steps I need to take to keep my online data and accounts safe.","You're nearly done, just answer the following questionnaire and you will be good to go ! Each statement below describes how a person might feel about the use of security measures. Examples of security measures are laptop or tablet passwords, spam email reporting tools, software updates, secure web browsers, fingerprint ID, and anti-virus software.

Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - I am extremely knowledgeable about all the steps needed to keep my online data and accounts safe.","You're nearly done, just answer the following questionnaire and you will be good to go ! Each statement below describes how a person might feel about the use of security measures. Examples of security measures are laptop or tablet passwords, spam email reporting tools, software updates, secure web browsers, fingerprint ID, and anti-virus software.

Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - I am extremely motivated to take all the steps needed to keep my online data and accounts safe.","You're nearly done, just answer the following questionnaire and you will be good to go ! Each statement below describes how a person might feel about the use of security measures. Examples of security measures are laptop or tablet passwords, spam email reporting tools, software updates, secure web browsers, fingerprint ID, and anti-virus software.

Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - I am too busy to put in the effort needed to change my security behaviors.","You're nearly done, just answer the following questionnaire and you will be good to go ! Each statement below describes how a person might feel about the use of security measures. Examples of security measures are laptop or tablet passwords, spam email reporting tools, software updates, secure web browsers, fingerprint ID, and anti-virus software.

Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - I have much bigger problems than my risk of a security breach.","You're nearly done, just answer the following questionnaire and you will be good to go ! Each statement below describes how a person might feel about the use of security measures. Examples of security measures are laptop or tablet passwords, spam email reporting tools, software updates, secure web browsers, fingerprint ID, and anti-virus software.

Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - I often am interested in articles about security threats.","You're nearly done, just answer the following questionnaire and you will be good to go ! Each statement below describes how a person might feel about the use of security measures. Examples of security measures are laptop or tablet passwords, spam email reporting tools, software updates, secure web browsers, fingerprint ID, and anti-virus software.

Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - I seek out opportunities to learn about security measures that are relevant to me.","You're nearly done, just answer the following questionnaire and you will be good to go ! Each statement below describes how a person might feel about the use of security measures. Examples of security measures are laptop or tablet passwords, spam email reporting tools, software updates, secure web browsers, fingerprint ID, and anti-virus software.

Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - I usually will not use security measures if they are inconvenient.","You're nearly done, just answer the following questionnaire and you will be good to go ! Each statement below describes how a person might feel about the use of security measures. Examples of security measures are laptop or tablet passwords, spam email reporting tools, software updates, secure web browsers, fingerprint ID, and anti-virus software.

Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - I want to change my security behaviors in order to keep my online data and accounts safe.","You're nearly done, just answer the following questionnaire and you will be good to go ! Each statement below describes how a person might feel about the use of security measures. Examples of security measures are laptop or tablet passwords, spam email reporting tools, software updates, secure web browsers, fingerprint ID, and anti-virus software.

Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - I want to change my security behaviors to improve my protection against threats (such as phishing, computer viruses, identity theft, password hacking) that are a danger to my online data and accounts.","You're nearly done, just answer the following questionnaire and you will be good to go ! Each statement below describes how a person might feel about the use of security measures. Examples of security measures are laptop or tablet passwords, spam email reporting tools, software updates, secure web browsers, fingerprint ID, and anti-virus software.

Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - I worry that I’m not doing enough to protect myself against threats (such as phishing, computer viruses, identity theft, password hacking) that are a danger to my online data and accounts.","You're nearly done, just answer the following questionnaire and you will be good to go ! Each statement below describes how a person might feel about the use of security measures. Examples of security measures are laptop or tablet passwords, spam email reporting tools, software updates, secure web browsers, fingerprint ID, and anti-virus software.

Please indicate the degree to which you agree or disagree with each statement. In each case, make your choice in terms of how you feel right now, not what you have felt in the past or would like to feel. There are no wrong answers. - There are good reasons why I do not take the necessary steps to keep my online data and accounts safe.","Please indicate the degree to which you agree/disagree with the following statements. - Consumer online privacy is really a matter of consumers' right to exercise control and autonomy over decisions about how their information is collected, used, and shared.",Please indicate the degree to which you agree/disagree with the following statements. - Consumer control of personal information lies at the heart of consumer privacy.,"Please indicate the degree to which you agree/disagree with the following statements. - Companies seeking information online should disclose the way the data are collected, processed, and used.",Please indicate the degree to which you agree/disagree with the following statements. - A good consumer online privacy policy should have a clear and conspicuous disclosure.,Please indicate the degree to which you agree/disagree with the following statements. - It usually bothers me when online companies ask me for personal information.,"Please indicate the degree to which you agree/disagree with the following statements. - When online companies ask me for personal information, I sometimes think twice before providing it.",Please indicate the degree to which you agree/disagree with the following statements. - It bothers me to give personal information to so many online companies.,Please indicate the degree to which you agree/disagree with the following statements. - I'm concerned that online companies are collecting too much personal information about me.,Would you like to add something to the study or explain something to enhance the understanding of your responses?,Did you notice any technical errors or other problems related to the study?,score,PROLIFIC_PID,SESSION_ID,STUDY_ID,Q_AmbiguousTextPresent,Q_AmbiguousTextQuestions,Q_StraightliningCount,Q_StraightliningPercentage,Q_StraightliningQuestions,Q_UnansweredPercentage,Q_UnansweredQuestions
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID49""}","{""ImportId"":""QID59""}","{""ImportId"":""QID104""}","{""ImportId"":""QID103""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109""}","{""ImportId"":""QID111""}","{""ImportId"":""QID110""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113""}","{""ImportId"":""QID47""}","{""ImportId"":""QID57""}","{""ImportId"":""QID101_4""}","{""ImportId"":""QID101_5""}","{""ImportId"":""QID101_6""}","{""ImportId"":""QID101_7""}","{""ImportId"":""QID101_8""}","{""ImportId"":""QID101_9""}","{""ImportId"":""QID101_13""}","{""ImportId"":""QID101_14""}","{""ImportId"":""QID101_15""}","{""ImportId"":""QID101_16""}","{""ImportId"":""QID101_17""}","{""ImportId"":""QID115""}","{""ImportId"":""QID117""}","{""ImportId"":""QID119""}","{""ImportId"":""QID121""}","{""ImportId"":""QID123""}","{""ImportId"":""QID126""}","{""ImportId"":""QID127""}","{""ImportId"":""QID127_8_TEXT""}","{""ImportId"":""QID128""}","{""ImportId"":""QID128_3_TEXT""}","{""ImportId"":""QID129""}","{""ImportId"":""QID129_8_TEXT""}","{""ImportId"":""QID131_1""}","{""ImportId"":""QID131_2""}","{""ImportId"":""QID131_3""}","{""ImportId"":""QID131_4""}","{""ImportId"":""QID131_5""}","{""ImportId"":""QID131_6""}","{""ImportId"":""QID131_7""}","{""ImportId"":""QID131_8""}","{""ImportId"":""QID131_9""}","{""ImportId"":""QID131_10""}","{""ImportId"":""QID134_1""}","{""ImportId"":""QID134_2""}","{""ImportId"":""QID134_3""}","{""ImportId"":""QID86_1""}","{""ImportId"":""QID86_2""}","{""ImportId"":""QID86_3""}","{""ImportId"":""QID86_4""}","{""ImportId"":""QID86_5""}","{""ImportId"":""QID86_6""}","{""ImportId"":""QID86_7""}","{""ImportId"":""QID86_8""}","{""ImportId"":""QID86_9""}","{""ImportId"":""QID86_10""}","{""ImportId"":""QID86_11""}","{""ImportId"":""QID86_12""}","{""ImportId"":""QID86_13""}","{""ImportId"":""QID87_1""}","{""ImportId"":""QID87_2""}","{""ImportId"":""QID87_3""}","{""ImportId"":""QID87_4""}","{""ImportId"":""QID87_5""}","{""ImportId"":""QID87_6""}","{""ImportId"":""QID87_7""}","{""ImportId"":""QID87_8""}","{""ImportId"":""QID84_TEXT""}","{""ImportId"":""QID132_TEXT""}","{""ImportId"":""SC_39MUac2IACWqlVk""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""Q_AmbiguousTextPresent""}","{""ImportId"":""Q_AmbiguousTextQuestions""}","{""ImportId"":""Q_StraightliningCount""}","{""ImportId"":""Q_StraightliningPercentage""}","{""ImportId"":""Q_StraightliningQuestions""}","{""ImportId"":""Q_UnansweredPercentage""}","{""ImportId"":""Q_UnansweredQuestions""}"
2023-05-03 13:54:24,2023-05-03 13:54:24,IP Address,194.230.158.253,100,0,True,2023-05-03 13:54:26,R_5yTBpSCO9E6fWCZ,,,,,46.5267,6.6243,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,0,,0,
2023-05-03 14:03:26,2023-05-03 14:03:26,Spam,194.230.158.253,100,0,True,2023-05-03 14:03:28,R_1jvLZw19ywDqKns,,,,,46.5267,6.6243,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,0,,0,
2023-05-10 10:17:53,2023-05-10 10:28:01,IP Address,129.132.99.91,100,607,True,2023-05-10 10:28:03,R_3O6YkdkUFjxch18,,,,,47.3804,8.5412,anonymous,EN,A type of online scam where criminals send fraudulent messages to trick people into sharing sensitive information.,All these answers are correct,Threats of account deactivation or legal action if immediate action is not taken,servicepaypal@gmail.com,noreply-dropbox@noreplysupport.com,The domain address should contain google.com,"""Your bank account password has been compromised ! If you don’t act fast, hackers might steal your money ! Click here to reinitialize your password""","""As a valued customer, we're giving you a special discount! -90 % on all our offers, click here to view more!""","""This is a notification from the Cybercrime Division of your local police department. Our records indicate that your internet connection was used to access illegal content and distribute malware. To avoid prosecution, you must pay a fine of 500chf within 24 hours. Failure to comply will result in legal action being taken against you.""","""Plase update your account imformation to conitnue using our service, click on the following link""",https://www.youtube.com/watch?v=dQw4w9WgXcQ&t=3s,Important_doc.docx,Change any compromised password,Report it so the organization can investigate,1 -Strongly Disagree,1 -Strongly Disagree,5- Strongly Agree,4,1 -Strongly Disagree,4,5- Strongly Agree,5- Strongly Agree,1 -Strongly Disagree,2,2,Yes,Yes,Yes,No,Yes,26-35,University degree (Bachelor/Master),,"Yes, studies in Computer Science, IT Security, Cybersecurity or similar",,University Student,,Neither agree nor disagree,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree a little,Agree strongly,Neither agree nor disagree,Agree a little,Agree strongly,,,,4 - Somewhat agree,4 - Somewhat agree,2 - Somewhat disagree,4 - Somewhat agree,1 - Strongly disagree,2 - Somewhat disagree,5 - Strongly agree,4 - Somewhat agree,2 - Somewhat disagree,4 - Somewhat agree,4 - Somewhat agree,5 - Strongly agree,2 - Somewhat disagree,4,6,6,6,7 - Strongly agree,7 - Strongly agree,7 - Strongly agree,7 - Strongly agree,,,48.7,,,,0,,0,0,,0.034482758620689655,QID84
2023-05-03 14:08:22,2023-05-03 14:22:57,IP Address,194.230.158.253,3,875,False,2023-05-10 14:23:04,R_xhMtnb0Jygic1nH,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,0,,0,
2023-05-13 11:34:13,2023-05-13 11:53:25,IP Address,129.132.99.88,100,1151,True,2023-05-13 11:53:27,R_22oaUCT0dtnVux2,,,,,47.3857,8.5348,anonymous,EN,A type of online scam where criminals send fraudulent messages to trick people into sharing sensitive information.,All these answers are correct,Security alert of suspicious login from an unknown location,paypal@paypal.com,no-reply@em-s.dropbox.com,The domain address should contain google.com,"""Your bank account password has been compromised ! If you don’t act fast, hackers might steal your money ! Click here to reinitialize your password""","""As a valued customer, we're giving you a special discount! -90 % on all our offers, click here to view more!""","""This is a notification from the Cybercrime Division of your local police department. Our records indicate that your internet connection was used to access illegal content and distribute malware. To avoid prosecution, you must pay a fine of 500chf within 24 hours. Failure to comply will result in legal action being taken against you.""","""Plase update your account imformation to conitnue using our service, click on the following link""",https://www.youtube.com/watch?v=dQw4w9WgXcQ&t=3s,None,Change any compromised password,Report it so the organization can investigate,2,1 -Strongly Disagree,4,4,2,2,4,4,2,2,2,Yes,Yes,Yes,Yes,Yes,18-25,Secondary school diploma,,"Yes, other IT security related education or occupation:",,University Student,,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Disagree a little,Disagree a little,Agree a little,Agree a little,Neither agree nor disagree,,,,4 - Somewhat agree,3 - Neither disagree nor agree,2 - Somewhat disagree,4 - Somewhat agree,3 - Neither disagree nor agree,2 - Somewhat disagree,3 - Neither disagree nor agree,4 - Somewhat agree,2 - Somewhat disagree,4 - Somewhat agree,4 - Somewhat agree,4 - Somewhat agree,2 - Somewhat disagree,4,5,6,5,4,4,5,5,,,35.2,,,,0,,0,0,,0.034482758620689655,QID84
2023-05-09 15:10:20,2023-05-09 16:02:59,IP Address,62.167.96.107,92,3159,False,2023-05-16 16:03:08,R_9oC0JtIgHH2JIYN,,,,,,,anonymous,EN,A type of online scam where criminals send fraudulent messages to trick people into sharing sensitive information.,Financial loss,Security alert of suspicious login from an unknown location,None,noreply-dropbox@noreplysupport.com,The domain address should contain google.com,"""Your bank account password has been compromised ! If you don’t act fast, hackers might steal your money ! Click here to reinitialize your password""",None,"""As part of our routine account maintenance, we kindly request that you confirm your personal information by visiting our website and completing the validation process accordingly.""",None,https://www.youtube.com/watch?v=dQw4w9WgXcQ&t=3s,bank_account.pdf.exe,Delete the phishing email,Ignore it,1 -Strongly Disagree,1 -Strongly Disagree,1 -Strongly Disagree,1 -Strongly Disagree,1 -Strongly Disagree,1 -Strongly Disagree,1 -Strongly Disagree,1 -Strongly Disagree,1 -Strongly Disagree,1 -Strongly Disagree,1 -Strongly Disagree,Yes,Yes,No,Yes,Yes,36-45,Associate degree,,"Yes, IT specialist, IT security specialist or similar",,Self-employed,,Neither agree nor disagree,Disagree a little,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Agree a little,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,0,,1,0.5,QID101,0,
2023-05-20 18:27:00,2023-05-20 18:28:57,IP Address,62.167.96.107,100,117,True,2023-05-20 18:28:59,R_3rZEVWIj2iFC8IO,,,,,46.5267,6.6243,anonymous,EN,A type of malware that infects computers and steals personal data.,Financial loss,Advertisements for weight loss supplements,service@paypal.com,no-reply@em-s.dropbox.com,It should contain no-reply,"""Your bank account password has been compromised ! If you don’t act fast, hackers might steal your money ! Click here to reinitialize your password""","""As a valued customer, we're giving you a special discount! -90 % on all our offers, click here to view more!""","""As part of our routine account maintenance, we kindly request that you confirm your personal information by visiting our website and completing the validation process accordingly.""",None,http://google-file-share.c.com,bank_invoice.scr,Delete the phishing email,Report it so the organization can investigate,1 -Strongly Disagree,1 -Strongly Disagree,1 -Strongly Disagree,1 -Strongly Disagree,1 -Strongly Disagree,1 -Strongly Disagree,1 -Strongly Disagree,1 -Strongly Disagree,1 -Strongly Disagree,1 -Strongly Disagree,1 -Strongly Disagree,No,Yes,No,Yes,Yes,36-45,Did not finish high school,,"Yes, IT specialist, IT security specialist or similar",,University Student,,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,,,,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,3,2,2,2,3,3,4,3,,,14.0,,,,0,,3,0.75,"QID101,QID131,QID86",0.034482758620689655,QID84
2023-05-21 00:28:58,2023-05-21 00:30:09,IP Address,194.230.158.104,100,70,True,2023-05-21 00:30:09,R_2uptuqxnW7GIMzl,,,,,46.5267,6.6243,anonymous,EN,A type of online advertising that uses deceptive tactics to attract clicks.,Financial loss,Advertisements for weight loss supplements,paypal@paypal.com,noreply-dropbox@noreplysupport.com,It should be a gmail address,"""Your bank account password has been compromised ! If you don’t act fast, hackers might steal your money ! Click here to reinitialize your password""","""As a valued customer, we're giving you a special discount! -90 % on all our offers, click here to view more!""","""This is a notification from the Cybercrime Division of your local police department. Our records indicate that your internet connection was used to access illegal content and distribute malware. To avoid prosecution, you must pay a fine of 500chf within 24 hours. Failure to comply will result in legal action being taken against you.""","""Please make sure to verify your account information with the following link""",https://www.you.tube.com/account,Important_doc.docx,Unplug your computer to get rid of the malware,Open the email and see whether it looks legitimate,2,2,2,2,2,2,2,2,2,2,2,No,No,Yes,Yes,Yes,36-45,PhD or similar,,"Yes, other IT security related education or occupation:",,Employee,,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,,,,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,,,15.8,,,,0,,4,1,"QID101,QID131,QID86,QID87",0.034482758620689655,QID84
